ID,Area,City,Restaurant,Price,Avg ratings,Food type,Latitude,Longitude,Geocode Precision
211,Koramangala,Bangalore,Tandoor Hut,300,4.4,"Biryani,Chinese,North Indian,South Indian",12.9352,77.6245,Locality (matched)
221,Koramangala,Bangalore,Tunday Kababi,300,4.1,"Mughlai,Lucknowi",12.9352,77.6245,Locality (matched)
246,Jogupalya,Bangalore,Kim Lee,650,4.4,Chinese,12.9707,77.621,Locality (matched)
248,Indiranagar,Bangalore,New Punjabi Hotel,250,3.9,"North Indian,Punjabi,Tandoor,Chinese",12.9719,77.6412,Locality (matched)
249,Indiranagar,Bangalore,Nh8,350,4,"Rajasthani,Gujarati,North Indian,Snacks,Desserts,Beverages,Thalis,Chaat",12.9719,77.6412,Locality (matched)
254,Indiranagar,Bangalore,Treat,800,4.5,"Mughlai,North Indian",12.9719,77.6412,Locality (matched)
258,Indiranagar,Bangalore,Chinita Real Mexican Food,1000,4.5,"Mexican,Beverages,Salads",12.9719,77.6412,Locality (matched)
263,Koramangala,Bangalore,Cupcake Noggins - Cakespastries And Desserts,150,4.3,"Desserts,British,Bakery,Pizzas,Snacks",12.9352,77.6245,Locality (matched)
267,Domlur,Bangalore,Tea Brew,350,4.1,"American,Italian,Beverages,Continental,Chinese,Pastas,Pizzas,Fast Food",12.961,77.6387,Locality (matched)
308,Koramangala,Bangalore,Bangaliana,300,4,Bengali,12.9352,77.6245,Locality (matched)
435,Koramangala,Bangalore,Bamey'S Restro Cafe,400,4.4,"Chinese,Thai,Nepalese",12.9352,77.6245,Locality (matched)
446,Cooke Town,Bangalore,Altaf'S Chillies Restaurants,250,4.3,"North Indian,Chinese",12.9946,77.6212,Locality (matched)
453,Pulikeshi Nagar,Bangalore,Chichabas Taj,532,4.2,"Mughlai,North Indian,Biryani",12.995,77.61,Locality (matched)
464,Sivanchetti Gardens,Bangalore,Urban Solace,500,2.9,"American,Continental",12.9605,77.601,Locality (matched)
504,Kodihalli,Bangalore,Kaati Zone Rolls & Wraps,150,4.3,"Fast Food,Beverages,Bengali,Biryani,Indian,North Indian,Snacks,Street Food",12.9611,77.6486,Locality (matched)
604,Koramangala,Bangalore,Aalishan Restaurant & Caterer,290,4.3,"Mughlai,North Indian",12.9352,77.6245,Locality (matched)
608,Domlur,Bangalore,Kerala Pavilion,300,4.1,"Kerala,Seafood",12.961,77.6387,Locality (matched)
621,Indiranagar,Bangalore,Kitchen Of Joy,250,4.4,"Bengali,Fast Food,Chinese",12.9719,77.6412,Locality (matched)
1050,Jayanagar,Bangalore,Nagarjuna Chimney,800,4.2,"Seafood,Andhra,Biryani,South Indian,Combo,Desserts,Beverages",12.925,77.5938,Locality (matched)
1299,Film Nagar,Hyderabad,So. The Sky Kitchen,800,2.9,"Mughlai,North Indian,Chinese,Thai,Asian",17.413,78.426,Locality (matched)
1304,Indiranagar,Bangalore,Esplanade,1200,4.3,"Mughlai,Bengali",12.9719,77.6412,Locality (matched)
1457,Banashankari,Bangalore,Hotel New Karavali,250,3.8,"North Indian,Chinese,South Indian",12.9255,77.5468,Locality (matched)
1547,Masab Tank,Hyderabad,Dine Hill,400,4.1,"Arabian,Biryani,North Indian,Chinese",17.402,78.453,Locality (matched)
1590,Banjara Hills,Hyderabad,Sarvi Restaurant,400,4.1,"Biryani,Tandoor,Chinese,Indian,Desserts,Kebabs,Mughlai",17.4156,78.4347,Locality (matched)
1593,Banjara Hills,Hyderabad,Sarvi Bakery,250,4.1,"Desserts,Fast Food,Bakery",17.4156,78.4347,Locality (matched)
1609,Andheri East,Mumbai,Kung Fu Panda,600,4.3,Chinese  Thai  Asian,19.1136,72.8697,Locality (matched)
1617,Powai,Mumbai,Kosho,300,4.2,"Mughlai,North Indian,Chinese,Seafood,Italian",19.1176,72.906,Locality (matched)
1844,Punjagutta,Hyderabad,Chinese Pavilion,850,4.3,"Chinese,Seafood",17.4256,78.453,Locality (matched)
1848,Banjara Hills,Hyderabad,Chef Inam'S Steak House,1200,4.2,"Steakhouse,American",17.4156,78.4347,Locality (matched)
1874,Indiranagar,Bangalore,Mamagoto,900,4.2,"Chinese,Asian,Pan-Asian,Thai,Oriental",12.9719,77.6412,Locality (matched)
1884,Powai,Mumbai,Hakka Express,300,4,"Chinese,Asian,Thai",19.1176,72.906,Locality (matched)
2008,Indiranagar,Bangalore,The Brekkie Shop - All Day Menu,200,4.3,"British,Italian,Indian,Chinese,South Indian,North Indian,Desserts",12.9719,77.6412,Locality (matched)
2042,Aundh,Pune,Juice Destination,200,4.2,"Thalis,North Indian,Punjabi,Beverages",18.559,73.808,Locality (matched)
2047,Aundh,Pune,Hyderabadi Spice,400,4.2,"Biryani,Mughlai,North Indian,Chinese",18.559,73.808,Locality (matched)
2102,Aundh,Pune,Cafe Peterdonuts,400,4.1,"Continental,Desserts",18.559,73.808,Locality (matched)
2250,Baner,Pune,Karolbaug,750,4.1,"Mughlai,North Indian,Chinese,Biryani",18.559,73.7868,Locality (matched)
2312,Powai Area,Mumbai,The Punjabi'S Kitchen,500,4.4,North Indian,19.1176,72.906,Locality (matched)
2344,Ramgopalpet,Hyderabad,Aangan - Yatri Nivas,500,4.1,North Indian  South Indian,17.431,78.483,Locality (matched)
2348,Kalasiguda,Hyderabad,Bluefox,800,4.2,Biryani  North Indian  Chinese  Tandoor,17.439,78.498,Locality (matched)
2516,Aundh,Pune,Taaareef,1100,4.4,"Mughlai,North Indian,Seafood,Biryani",18.559,73.808,Locality (matched)
2770,Kalasiguda,Hyderabad,Flavours Of Taj Mahal Hotel,300,4.2,North Indian  Chinese  Desserts  Continental  South Indian,17.439,78.498,Locality (matched)
2776,Adarsh Nagar,Hyderabad,Ohri'S Eatmor,600,4.2,"Ice Cream,Beverages,Desserts,Chaat,Italian",17.403,78.47,Locality (matched)
2777,Adarsh Nagar,Hyderabad,Ohri'S Ming'S Court,500,4,Chinese,17.403,78.47,Locality (matched)
2795,Himayatnagar,Hyderabad,Minerva Coffee Shop,500,4.3,"South Indian,North Indian,Chinese",17.4008,78.4813,Locality (matched)
2796,Himayatnagar,Hyderabad,Bluefox,800,4.1,"Biryani,North Indian,Chinese,Tandoor",17.4008,78.4813,Locality (matched)
2811,Ashok Nagar,Bangalore,Art Of Delight,250,4.6,"Ice Cream,Desserts,Beverages",12.9843,77.5936,Locality (matched)
2820,Commercial Street,Bangalore,Khan Saheb Grills And Rolls,300,4.3,"Tandoor,Mughlai,North Indian,Kebabs",12.9822,77.6083,Locality (matched)
2824,Richmond Town,Bangalore,Fanoos,300,4.2,"Biryani,Tandoor,Kebabs,Barbecue,Fast Food",12.9611,77.6033,Locality (matched)
2827,Richmond Town,Bangalore,In Wok,500,4.3,Chinese,12.9611,77.6033,Locality (matched)
2832,Ashok Nagar,Bangalore,Lakeview Milkbar,450,4.1,"Desserts,Ice Cream,Bakery,Fast Food",12.9843,77.5936,Locality (matched)
2839,Ashok Nagar,Bangalore,C Sharp Kitchen,300,2.9,"Chinese,Continental,Fast Food",12.9843,77.5936,Locality (matched)
2840,Ashok Nagar,Bangalore,Roomali,1000,4.4,"North Indian,Indian",12.9843,77.5936,Locality (matched)
2843,Ashok Nagar,Bangalore,Tadka Singh,300,4.2,"Punjabi,North Indian",12.9843,77.5936,Locality (matched)
2914,Ashok Nagar,Bangalore,Bheemas,550,4.3,Andhra,12.9843,77.5936,Locality (matched)
2915,Vasanth Nagar,Bangalore,Watson'S,450,2.9,Fast Food,12.9899,77.5926,Locality (matched)
2964,Andheri East,Mumbai,Sai Leela,500,4.2,"Mughlai,North Indian,Chinese,Seafood",19.1136,72.8697,Locality (matched)
3007,Bhowanipore,Kolkata,Tandoori Darbar,500,4.4,"North Indian,Chinese,Tandoor,Biryani,Beverages,Desserts",22.527,88.345,Locality (matched)
3010,Ballygunge,Kolkata,Ballygunge Dhaba,500,4.3,"North Indian,Biryani,Chinese",22.528,88.366,Locality (matched)
3018,Gariahat,Kolkata,Tero Parbon,500,4.3,Bengali,22.519,88.363,Locality (matched)
3020,Ballygunge,Kolkata,Wise Owl The Coffee Shop,700,4.3,"Continental,American,Cafe",22.528,88.366,Locality (matched)
3022,Gariahat,Kolkata,Aminia Restaurant- Golpark,500,4.3,"Biryani,Mughlai,North Indian,Indian,Kebabs,Tandoor",22.519,88.363,Locality (matched)
3025,Gariahat,Kolkata,Bedouin - Sher E Bengal,500,2.9,"North Indian,Chinese,Bengali",22.519,88.363,Locality (matched)
3031,Ballygunge,Kolkata,Sharma Dhaba,300,4.2,North Indian  Fast Food  Tandoor  Biryani  Kebabs  Snacks  Chinese,22.528,88.366,Locality (matched)
3063,Indiranagar,Bangalore,Kund Indian Barbeque,200,4.2,"Mughlai,North Indian,Biryani,Kebabs,Desserts",12.9719,77.6412,Locality (matched)
3071,Bhowanipore,Kolkata,Jai Hind Dhaba,500,4.3,"North Indian,Indian,Tandoor,Kebabs,Punjabi,Home Food,Chinese",22.527,88.345,Locality (matched)
3074,Kalighat,Kolkata,Tamarind,1100,4.4,"North Indian,South Indian",22.519,88.342,Locality (matched)
3207,Pulikeshi Nagar,Bangalore,Pathaan Sir,300,4.2,Fast Food,12.995,77.61,Locality (matched)
